observed_at_utc,monitor_elapsed_seconds,phase,host_swap_in_mib_s,host_swap_out_mib_s,host_swap_used_mib,app_cpu_pct,app_ps_rss_mib,sidecar_cpu_pct,sidecar_ps_rss_mib,host_process_count
2026-09-06T01:58:57.975448+00:00,751.757759,backend,297.250554,458.31421,28063.31,4.6,38.15625,12.7,41.15625,940
2026-09-06T01:59:02.964966+00:00,756.762495,backend,206.816622,283.444048,28464.06,0.0,23.03125,11.8,29.71875,945
2026-09-06T01:59:08.044186+00:00,761.76796,backend,316.332324,206.349427,27657.81,1.0,37.453125,19.5,48.84375,954
2026-09-06T01:59:12.980138+00:00,766.771409,backend,419.582461,389.115976,24340.94,0.0,30.65625,14.1,36.359375,948
2026-09-06T01:59:18.016441+00:00,771.794257,backend,268.765599,445.143995,25192.19,11.4,36.71875,45.6,52.15625,946
2026-09-06T01:59:23.025208+00:00,776.795939,backend,320.751488,439.702103,25799.19,0.3,37.6875,13.4,42.53125,946
2026-09-06T01:59:28.012291+00:00,781.800198,backend,291.582875,302.542289,25856.94,0.0,33.65625,9.1,33.046875,942
2026-09-06T01:59:33.008855+00:00,786.803581,backend,319.068522,373.947022,26128.44,10.8,38.140625,48.1,47.4375,947
2026-09-06T01:59:38.029220+00:00,791.808877,backend,302.448382,258.310759,24486.25,0.0,34.84375,16.3,38.765625,941
2026-09-06T01:59:43.088858+00:00,796.824755,backend,319.606939,522.120093,25505.75,15.2,37.796875,23.5,38.640625,945
2026-09-06T01:59:48.067048+00:00,801.827612,backend,205.682482,270.5829,25836.75,0.4,37.53125,10.8,33.734375,940
2026-09-06T01:59:53.111131+00:00,806.839437,backend,345.252197,365.535475,25946.44,0.0,31.015625,22.9,14.234375,947
2026-09-06T01:59:58.064285+00:00,811.859869,backend,244.572466,153.13673,25507.12,2.8,37.359375,19.8,33.546875,947
2026-09-06T02:00:03.096879+00:00,816.869164,backend,205.939028,148.32426,25194.12,0.1,30.828125,20.6,33.578125,950
2026-09-06T02:00:08.101572+00:00,821.874981,backend,383.397721,548.52437,26025.75,0.0,31.671875,15.1,37.328125,948
2026-09-06T02:00:13.083250+00:00,826.878402,backend,248.626758,195.778543,25746.75,0.7,37.4375,16.3,33.203125,947
2026-09-06T02:00:18.094227+00:00,831.887753,backend,305.126248,385.441673,26137.5,0.0,26.140625,46.4,46.828125,950
2026-09-06T02:00:23.115885+00:00,836.900256,backend,276.873264,199.339025,25760.69,7.0,37.609375,17.9,37.15625,948
2026-09-06T02:00:28.150972+00:00,841.905421,backend,330.583507,548.708184,26834.44,0.4,32.359375,9.4,26.984375,944
2026-09-06T02:00:33.165079+00:00,846.936214,backend,272.512297,253.426715,26732.88,0.0,31.65625,15.3,40.03125,938
2026-09-06T02:00:38.145019+00:00,851.944855,backend,325.565526,430.206574,27247.56,3.4,40.3125,17.0,36.984375,937
